1password-beta 8.11.14_20.BETA-20
1password-cli 2.32.0-2
7zip 25.01-1
adobe-source-han-sans-tw-fonts 2.005-1
adobe-source-han-serif-tw-fonts 2.003-1
alacritty 0.15.1-1
amd-ucode 20250917-1
android-sdk 26.1.1-2
android-sdk-cmdline-tools-latest 19.0-1
android-sdk-debug 26.1.1-2
android-sdk-platform-tools 36.0.0-1
android-sdk-platform-tools-debug 36.0.0-1
android-udev 20250525-1
asdcontrol-git r23.0ee8bd5-1
asusctl 6.1.12-0.1
base 3-2
base-devel 1-2
bash-completion 2.16.0-1
bat 0.25.0-4
betterdiscord-installer 1.3.0-1
bibata-cursor-theme 2.0.7-1
blueberry 1.4.8-2
bluez 5.84-1
bluez-utils 5.84-1
brightnessctl 0.5.1-3
btop 1.4.5-1
btrfs-progs 6.17-1
clang 20.1.8-2
copyq 12.0.1-1
cups 2:2.4.14-1
cups-browsed 2.1.1-1
cups-filters 2.0.1-2
cups-pdf 3.0.2-1
discord 1:0.0.111-1
docker 1:28.5.0-1
docker-buildx 0.29.1-1
docker-compose 2.40.0-1
dust 1.2.3-1
easyeffects 7.2.5-2
efibootmgr 18-3
egl-wayland 4:1.1.20-1
evince 1:48.1-1
eza 0.23.4-1
fastfetch 2.53.0-1
fcitx5 5.1.14-1
fcitx5-chewing 5.1.8-1
fcitx5-chinese-addons 5.1.9-1
fcitx5-configtool 5.1.10-1
fcitx5-gtk 5.1.4-1
fcitx5-mcbopomofo-git 2.9.2.r29.dc57f0e-1
fcitx5-qt 5.1.10-2
fd 10.3.0-1
ffmpegthumbnailer 2.2.3-4
flatpak 1:1.16.1-1
fontconfig 2:2.17.1-1
fzf 0.65.2-1
gamemode 1.8.2-1
gamescope 3.16.17-1
gcc14 14.3.1+r25+g42e99e057bd7-1
ghostty 1.2.0-1
git 2.51.0-1
github-cli 2.81.0-1
gnome-calculator 49.0.1-1
gnome-keyring 1:48.0-1
gnome-themes-extra 3.28+r6+g45b1d457-2
gnome-tweaks 49.0-1
gst-plugin-pipewire 1:1.4.8-2
gum 0.17.0-1
gvfs-gphoto2 1.58.0-2
gvfs-mtp 1.58.0-2
gvfs-smb 1.58.0-2
helvum 0.5.1-1
heroic-games-launcher-bin 2.18.1-2
hypridle 0.1.7-4
hyprland 0.51.1-4
hyprland-qtutils 0.1.5-3
hyprlock 0.9.2-3
hyprpicker 0.4.5-7
hyprshot 1.3.0-4
hyprsunset 0.3.3-3
imagemagick 7.1.2.5-1
impala 0.3.0-1
imv 4.5.0-6
inetutils 2.6-1
iwd 3.10-1
jmtpfs 0.5-3
jq 1.8.1-1
kdeconnect 25.08.1-1
kdenlive 25.08.1-2
kitty 0.43.1-1
kvantum-qt5 1.1.5-1
lazydocker 0.24.1-2
lazygit 0.55.1-1
less 1:679-1
lib32-nvidia-utils 580.95.05-1
libpulse 17.0+r43+g3e2bb8a1e-1
libqalculate 5.7.0-1
libreoffice-fresh 25.8.1-3
libva-nvidia-driver 0.0.14-1
linux 6.17.1.arch1-1
linux-firmware 20250917-1
linux-headers 6.17.1.arch1-1
llvm 20.1.8-1
localsend-bin 1.17.0-1
luarocks 3.12.2-1
mako 1.10.0-1
man-db 2.13.1-1
mariadb-libs 12.0.2-1
mise 2025.9.7-1
mpv 1:0.40.0-7
mtpfs 1.1-5
nautilus 49.0-1
neovim 0.11.4-1
nmap 7.98-3
noto-fonts 1:2025.10.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
noto-fonts-extra 1:2025.10.01-1
noto-fonts-tc 2:20201206-1
npm 11.6.1-1
nss-mdns 0.15.1-2
nvidia-open-dkms 580.95.05-1
nvidia-settings 580.95.05-1
nvidia-utils 580.95.05-1
obs-studio 32.0.1-2
obsidian 1.9.14-1
omarchy-chromium 141.0.7390.54-1002
opencode-bin 0.14.1-1
otf-aurulent-nerd 3.4.0-1
otf-codenewroman-nerd 3.4.0-1
otf-comicshanns-nerd 3.4.0-1
otf-commit-mono-nerd 3.4.0-1
otf-droid-nerd 3.4.0-1
otf-firamono-nerd 3.4.0-1
